size	stride	elapsed(s)	cycles	#accesses a[i]	 mean access time
1048576	2	0.199588	199588	104857600	1.903415
1048576	4	0.231609	231608	104857600	2.208793
1048576	8	0.241507	241505	104857600	2.303189
1048576	16	0.236784	236785	104857600	2.258150
1048576	32	0.225506	225504	104857600	2.150589
1048576	64	0.219078	219079	104857600	2.089293
1048576	128	0.264288	264288	104857600	2.520444
1048576	256	0.323655	323655	104857600	3.086614
1048576	512	0.338863	338863	104857600	3.231648
1048576	1024	0.344475	344475	104857600	3.285166
1048576	2048	0.325036	325036	104857600	3.099782
1048576	4096	0.941147	941147	104857600	8.975477
1048576	8192	0.931317	931317	104857600	8.881729
1048576	16384	0.905453	905453	104857600	8.635075
1048576	32768	0.846168	846168	104857600	8.069687
1048576	65536	0.820624	820623	104857600	7.826077
1048576	131072	0.241186	241185	104857600	2.300129
1048576	262144	0.223128	223128	104857600	2.127911
1048576	524288	0.213691	213692	104857600	2.037921
2097152	1	0.422932	422932	209715200	2.016695
2097152	2	0.416390	416390	209715200	1.985504
2097152	4	0.482395	482396	209715200	2.300240
2097152	8	0.455187	455187	209715200	2.170499
2097152	16	0.450572	450572	209715200	2.148494
2097152	32	0.427433	427433	209715200	2.038157
2097152	64	0.431015	431015	209715200	2.055241
2097152	128	0.524936	524936	209715200	2.503092
2097152	256	0.648052	648052	209715200	3.090154
2097152	512	0.672202	672202	209715200	3.205309
2097152	1024	0.691349	691346	209715200	3.296607
2097152	2048	0.767806	767807	209715200	3.661186
2097152	4096	1.940345	1940345	209715200	9.252286
2097152	8192	1.863060	1863061	209715200	8.883764
2097152	16384	1.789826	1789826	209715200	8.534554
2097152	32768	1.697734	1697734	209715200	8.095426
2097152	65536	1.723643	1723643	209715200	8.218971
2097152	131072	1.207119	1207119	209715200	5.755992
2097152	262144	0.502660	502660	209715200	2.396871
2097152	524288	0.467529	467528	209715200	2.229351
2097152	1048576	0.444980	444980	209715200	2.121831
4194304	1	0.834768	834768	419430400	1.990241
4194304	2	0.786858	786859	419430400	1.876016
4194304	4	0.901234	901233	419430400	2.148709
4194304	8	1.101299	1101298	419430400	2.625702
4194304	16	1.117733	1117734	419430400	2.664883
4194304	32	0.971154	971154	419430400	2.315411
4194304	64	1.009054	1009054	419430400	2.405773
4194304	128	1.103884	1103883	419430400	2.631864
4194304	256	1.491035	1491034	419430400	3.554904
4194304	512	1.523065	1523065	419430400	3.631271
4194304	1024	1.591588	1591589	419430400	3.794642
4194304	2048	1.263078	1263078	419430400	3.011412
4194304	4096	3.678293	3678292	419430400	8.769734
4194304	8192	3.707325	3707325	419430400	8.838951
4194304	16384	3.687152	3687152	419430400	8.790855
4194304	32768	3.475093	3475092	419430400	8.285266
4194304	65536	3.583813	3583813	419430400	8.544475
4194304	131072	3.372596	3372595	419430400	8.040895
4194304	262144	2.311498	2311498	419430400	5.511040
4194304	524288	0.960744	960743	419430400	2.290592
4194304	1048576	0.894027	894026	419430400	2.131526
4194304	2097152	0.859174	859174	419430400	2.048429
